Org Unit,Org Unit Code,OU Short Name,Org Unit Id,Parent Id
20 Block Outreach Clinic,,20 Block Outreach Clinic,X5G31mcZV7K,PbfmrMdVBs3
4 Miles Outreach (Sadzi),,4 Miles Outreach (Sadzi),tL344obEikB,BuyHhYha5dP
Aaron Village Clinic (Kanyezi),,Aaron Village Clinic (Kanyezi),bFN4nAJL4Ss,U6sLs3tOzpC
Aaron Village Clinic (Kaphuka),,Aaron Village Clinic (Kaphuka),LB6jIRArFSQ,wGMlG6WZZ4q
Aa-salam Clinic,2561,Aa-salam-Clinic,e1iVoquOKVT,RBK39eC5LuY
Abasi  Outreach Clinic (Mangochi DH),,Abasi  Outreach Clinic (Mangochi DH),hmhRbqYPA5e,vGbcjNT1TSJ
Abraham Village Clinic (Golomoti),,Abraham Village Clinic (Golomoti),oHlZHt6Aqsf,DuvCctg3dhx
Abunu Village Clinic,,Abunu VC,GhLliOHShII,TusMbw27jzb
Achikondi women community,4075,AchikondiwomenCommunity,q9qra0ng8xZ,MDkBXGJ5CyR
Adam Outreach (Chipini),,Adam Outreach (Chipini),InWfvi8L0rK,imXmafCgb5n
Adam Outreach Clinic,,Adam Outreach Clinic,F80xuI5bOsJ,XnBB0NztocS
Adam Village Clinic (Chipini),,Adam Village Clinic (Chipini),ydiAeJx4vSo,imXmafCgb5n
Adamson Outreach (Chikwewo),,Adamson Outreach (Chikwewo),fROCguSkgNf,teLlh1E6CxB
Adamson Village Clinic,,Adamson V Clinic,dEkkb58AfeZ,teLlh1E6CxB
Adamson Village Clinic (Mapanga),,Adamson Village Clinic (Mapanga),jEpnDmT7MmP,XrE6S137IUq
Adamu Outreach (M'mambo),,Adamu Outreach (M'mambo),yc24z9oCEQx,PFhr83vxGgZ
ADD Outreach Clinic,,ADD Outreach Clinic,McEendCKD2r,ceJLGDr1eVI
Admarc Dispensary,1421,Admarc-DISP,jtid6arDY0M,hQXbPPfQtLy
Adventist Health Centre,4041,Adventist-HC,E3kLgwow7On,MDkBXGJ5CyR
African Bible College Health Centre,4040,African-Bible-College-HC,zYfP0gkHRJH,MDkBXGJ5CyR
Agripa Outreach Clinic,,Agripa Outreach Clinic,LGo3XorjUjr,aLanDLYSxOP
Agripa Village Clinic,,Agripa Village Clinic,DEDGW9GkEjP,aLanDLYSxOP
Ahi Private Clinic,2753,Ahi Private Clinic,VoTfUk9ncoD,hrbAl7aUBwV
Airwing Clinic,4046,Airwing Clinic,V7m6S5TIpqf,MDkBXGJ5CyR
Airwing Clinic (Zomba),,Airwing Clinic (Zomba),FLu5HmxHlNM,hrbAl7aUBwV
Akasale Outreach Clinic (Bilal),,Akasale Outreach Clinic (Bilal),uLxnroFTAua,KxcbdpaFBia
Akasale Pvt Clinic,,Akasale Pvt Clinic,qNuRHXJ2P3m,CTdWtNCPRNh
Akhonde Outreach Clinic,,Akhonde Outreach Clinic,zis9StLFsiM,Fz0tDlXVsn3
Akhonde Village Clinic,,Akhonde Village Clinic,J1q8HFAyy07,Fz0tDlXVsn3
Akubilila I Village Clinic (Bilila),,Akubilila I Village Clinic (Bilila),YYXQ4ZU7cGH,pPHM09AVDAS
Alabi Machemba Outreach Clinic (Iba),,Alabi Machemba Outreach Clinic (Iba),QDxAfGoCHpK,FZw4GOFV5X0
Alawe Outreach (Likangala),,Alawe Outreach (Likangala),SsybZqNh6Al,LBeMMNRQSoU
Albinism clinic,,Albinism clinic,rG5mfsvJPKp,aHZkp6KyuD7
Alenga Village Clinic (Chongoni),,Alenga Village Clinic (Chongoni),l4HFfSzGP4Q,LkjXIWw5W9v
Alibelito Outreach Clinic (Bembeke),,Alibelito Outreach Clinic (Bembeke),YNxOMYiMgcI,spQpsut9f1B
Alick Ndabandaba Outreach Clinic,,Alick Ndabandaba Outreach Clinic,ZJJ8Cko7IZ3,H58PMzo9Xii
Alinafe Community Hospital,1113,Alinafe Community Hospital,Y46sxDDIkfz,HxjTgTNq2YD
Alindiamao Outreach Clinic (Kanyimbi),,Alindiamao Outreach Clinic (Kanyimbi),BqQlQm9qrkT,AbJbZQt4UJs
Alindiamao Village Clinic (Kanyimbi),,Alindiamao Village Clinic (Kanyimbi),zizl1Jg6aeA,AbJbZQt4UJs
Alliance One Clinic,4047,Alliance One Clinic,wDyK6ODo0vg,MDkBXGJ5CyR
Alufandika Outreach Clinic (Lulwe),,Alufandika Outreach Clinic (Lulwe),aASXxHV6G1Y,ftIjkXg1oCr
Alufandika Village Clinic (Lulwe),,Alufandika Village Clinic (Lulwe),WXJsJ90LvJi,ftIjkXg1oCr
Alumenda Health Centre,3323,Alumenda Health Centre,NG36oCEzUcC,GeGgihdOJ2p
Amalika Dispensary,3126,Amalika-DISP,lIGQGBEICWx,gd6cNp4HjsE
Ambali Village Clinic,,Ambali Village Clinic,MVNrCZrCjLj,eLLoifuK7RA
Amidu Outreach Clinic (Chitedze),,Amidu Outreach Clinic (Chitedze),MptJBWAX8P2,Xc3odqjv7h0
Amonitsute Outreach Clinic (Balaka),,Amonitsute Outreach Clinic (Balaka),XTKgc7FhblC,R96XZz9y9Ji
Amosi Outreach Clinic (Kunenekude),,Amosi Outreach Clinic (Kunenekude),MFaAl9wgnNk,tB6qZOxpIwC
Amosi Village Clinic (Kunenekude),,Amosi Village Clinic (Kunenekude),BEJmqfBbxVg,tB6qZOxpIwC
Anaesthesia Department,,Anaesthesia Department,SPPjq48vk8o,xR6l67TETM8
Anansi Chipanda Village Clinic (Sadzi),,Anansi Chipanda Village Clinic (Sadzi),IlJGczbbF8v,BuyHhYha5dP
Anchor Farm Health Centre,1033,Anchor Farm Health Centre,lXEN2NtidAc,QWwg51OvU0a
Andarasani Outreach Clinic (Mbera),,Andarasani Outreach Clinic (Mbera),HT2w6T2CODw,vHwtNk0Bvmi
Anglican Outreach Clinic (Thekerani),,Anglican Outreach Clinic (Thekerani),h8pP7yXOvnZ,INxuyEdPFCm
Anglican Village Clinic (Thekerani),,Anglican Village Clinic (Thekerani),oadEoLjWqXB,INxuyEdPFCm
Antenatal ward,,Antenatal ward,UoVIQM2g4Fn,IJmW4oX63UE
