resource,data_set,name,org_units,frequency,report_due_day,short_name,program,report_type
/dataValueSets,GzO4xPVk8pl,ANC Monthly Facility Report,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Tedzani Escom Clinic,Zalewa Dispensary",Monthly,14,anc_monthly,,aggregate
/dataValueSets,P4oPxnYmYHY,CBMNC Monthly Report,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Zalewa Dispensary",Monthly,14,cbmnc_monthly,,aggregate
/dataValueSets,ZABjSFibfGV,CMAM Stock Sheet Monthly Report,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Zalewa Dispensary",Monthly,14,cmam_monthly,,aggregate
/dataValueSets,NX1lpqsalRy,Cervical Cancer Control Program Monthly Report,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Zalewa Dispensary",Monthly,14,cervical_cancer_monthly,,aggregate
/dataValueSets,gPAyiHYXHBI,Covid 19 Monthly Reporting Form,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Tedzani Escom Clinic,Zalewa Dispensary",Monthly,14,covid_19_monthly,,aggregate
/dataValueSets,xKmkoAZLEGU,EPI Vaccination Performance and Disease Surveillance (NEW),"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Zalewa Dispensary",Monthly,14,epi_monthly,,aggregate
/dataValueSets,cCsbOg15aNB,Exposed Child Under 24 Months-Follow Up,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Tedzani Escom Clinic,Zalewa Dispensary",Monthly,14,exposed_infant_monthly,,aggregate
/dataValueSets,TZwgYAeQXxL,Family Planning Monthly Report,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Tedzani Escom Clinic,Zalewa Dispensary",Monthly,14,family_planning_monthly,,aggregate
/dataValueSets,IhVEF2U4zhn,HIV Self-Test Distribution Monthly Report,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Tedzani Escom Clinic,Zalewa Dispensary",Monthly,14,hiv_self_test_monthly,,aggregate
/dataValueSets,q1Es3k3sZem,HMIS 15,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Tedzani Escom Clinic,Zalewa Dispensary",Monthly,14,hmis_15_monthly,,aggregate
