resource,data_set,name,org_units,frequency,report_due_day,short_name,program,report_type
/dataValueSets,ft7wAzSPfw5,Comprehensive Abortion Care Reporting Form,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Neno District Hospital,Neno Parish Health Centre,Nsambe Sda Health Centre",Monthly,14,comprehensive_abortion_monthly,,aggregate
/dataValueSets,WumH0XCnHT7,Non Communicable Diseases Quarterly Reporting Form,"Lisungwi Community Hospital,Neno District Hospital",Quarterly,14,non_communicable_quarterly,,aggregate
/dataValueSets,mLAtASimykI,ART Reporting Form - Part 2,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Tedzani Escom Clinic,Zalewa Dispensary",Quarterly,25,art_quarterly,,aggregate
/dataValueSets,AtTb95TRx2Y,"TB CDE, Community, CI and KP reporting form","Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Zalewa Dispensary",Quarterly,25,tb_cde_quarterly,,aggregate
/dataValueSets,zhGkS89Ju5r,TB Case Findings Quarterly Report New,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Zalewa Dispensary",Quarterly,25,tb_case_findings_quarterly,,aggregate
/dataValueSets,h4POFOPbISK,TB Laboratory reporting form,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Zalewa Dispensary",Quarterly,25,tb_laboratory_quarterly,,aggregate
/dataValueSets,fOiOJU7Vt2n,TB Treatment Outcomes Quarterly reporting form New,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Zalewa Dispensary",Quarterly,25,tb_treatment_outcome_quarterly,,aggregate
/dataValueSets,OiOMthNx0Tu,TB-HIV Quarterly Reporting Form New,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Zalewa Dispensary",Quarterly,25,tb_hiv_quarterly,,aggregate
/dataValueSets,HGdtEMMmyCL,Non Communicable Diseases PEN Plus Facility Monthly Reporting Form ,"Salima District Hospital,Ntchisi District Hospital,Karonga District Hospital,Rumphi District Hospital,Mangochi District Hospital,Lisungwi Community Hospital,Neno District Hospital",Monthly,14,pen_plus_ncd_monthly,,aggregate
/dataValueSets,b7BOK5krhxK,HDU Monthly Report,Neno District Hospital,Monthly,14,hdu_monthly,,aggregate
